"City","State","Country","Market","Region","Geo_ID"
"Aachen","North Rhine-Westphalia","Germany","EU","Central",1
"Aalen","Baden-Württemberg","Germany","EU","Central",2
"Aalst","East Flanders","Belgium","EU","Central",3
"Aba","Abia","Nigeria","Africa","Africa",4
"Abadan","Khuzestan","Iran","EMEA","EMEA",5
"Abakaliki","Ebonyi","Nigeria","Africa","Africa",6
"Abbeville","Picardy","France","EU","Central",7
"Abbotsford","British Columbia","Canada","Canada","Canada",8
"Abeokuta","Ogun","Nigeria","Africa","Africa",9
"Aberdeen","Scotland","United Kingdom","EU","North",10
"Aberdeen","South Dakota","United States","US","Central",11
"Abha","'Asir","Saudi Arabia","EMEA","EMEA",12
"Abidjan","Lagunes","Cote d'Ivoire","Africa","Africa",13
"Abilene","Texas","United States","US","Central",14
"Abreu e Lima","Pernambuco","Brazil","LATAM","South",15
"Abu Kabir","Ash Sharqiyah","Egypt","Africa","Africa",16
"Abuja","Abuja Capital Territory","Nigeria","Africa","Africa",17
"Acarigua","Portuguesa","Venezuela","LATAM","South",18
"Acayucan","Veracruz","Mexico","LATAM","North",19
"Accra","Greater Accra","Ghana","Africa","Africa",20
"Acerra","Campania","Italy","EU","South",21
"Acireale","Sicily","Italy","EU","South",22
"Acuña","Coahuila","Mexico","LATAM","North",23
"Acámbaro","Guanajuato","Mexico","LATAM","North",24
"Ad Diwaniyah","Al Qadisiyah","Iraq","EMEA","EMEA",25
"Ad Diwem","White Nile","Sudan","Africa","Africa",26
"Adana","Adana","Turkey","EMEA","EMEA",27
"Adelaide","South Australia","Australia","APAC","Oceania",28
"Adiyaman","Adiyaman","Turkey","EMEA","EMEA",29
"Aew?l-li","Jeju","South Korea","APAC","North Asia",30
"Afragola","Campania","Italy","EU","South",31
"Afyon","Afyonkarahisar","Turkey","EMEA","EMEA",32
"Agadir","Souss-Massa-Draâ","Morocco","Africa","Africa",33
"Agde","Languedoc-Roussillon","France","EU","Central",34
"Agen","Aquitaine","France","EU","Central",35
"Agra","Uttar Pradesh","India","APAC","Central Asia",36
"Agrigento","Sicily","Italy","EU","South",37
"Ahvaz","Khuzestan","Iran","EMEA","EMEA",38
"Ain Oussera","Djelfa","Algeria","Africa","Africa",39
"Aix-en-Provence","Provence-Alpes-Côte d'Azur","France","EU","Central",40
"Aix-les-Bains","Rhône-Alpes","France","EU","Central",41
"Ajaccio","Corsica","France","EU","Central",42
"Ajman","'Ajman","United Arab Emirates","EMEA","EMEA",43
"Ajmer","Rajasthan","India","APAC","Central Asia",44
"Akhisar","Manisa","Turkey","EMEA","EMEA",45
"Akhmim","Suhaj","Egypt","Africa","Africa",46
"Akola","Maharashtra","India","APAC","Central Asia",47
"Akron","Ohio","United States","US","East",48
"Aksaray","Aksaray","Turkey","EMEA","EMEA",49
"Aksu","Xinjiang Uygur","China","APAC","North Asia",50
"Akure","Ondo","Nigeria","Africa","Africa",51
"Al Amarah","Maysan","Iraq","EMEA","EMEA",52
"Al Fayyum","Al Fayyum","Egypt","Africa","Africa",53
"Al Hillah","Babil","Iraq","EMEA","EMEA",54
"Al Hudaydah","Al Hudaydah","Yemen","EMEA","EMEA",55
"Al Hufuf","Ash Sharqiyah","Saudi Arabia","EMEA","EMEA",56
"Al Khums","Al Marqab","Libya","Africa","Africa",57
"Al Mahallah al Kubra","Al Gharbiyah","Egypt","Africa","Africa",58
"Al Manaqil","Gezira","Sudan","Africa","Africa",59
"Al Minya","Al Minya","Egypt","Africa","Africa",60
"Al Mubarraz","Ash Sharqiyah","Saudi Arabia","EMEA","EMEA",61
"Al Muharraq","Muharraq","Bahrain","EMEA","EMEA",62
"Alanya","Antalya","Turkey","EMEA","EMEA",63
"Albacete","Castile-La Mancha","Spain","EU","South",64
"Albany","Western Australia","Australia","APAC","Oceania",65
"Albertville","Rhône-Alpes","France","EU","Central",66
"Albi","Midi-Pyrénées","France","EU","Central",67
"Albuquerque","New Mexico","United States","US","West",68
"Albury","New South Wales","Australia","APAC","Oceania",69
"Alcobendas","Madrid","Spain","EU","South",70
"Alessandria","Piedmont","Italy","EU","South",71
"Alexandria","Al Iskandariyah","Egypt","Africa","Africa",72
"Alexandria","Virginia","United States","US","South",73
"Alfortville","Ile-de-France","France","EU","Central",74
"Algiers","Alger","Algeria","Africa","Africa",75
"Alicante","Valenciana","Spain","EU","South",76
"Alice Springs","Northern Territory","Australia","APAC","Oceania",77
"Aligarh","Uttar Pradesh","India","APAC","Central Asia",78
"Aligudarz","Lorestan","Iran","EMEA","EMEA",79
"Alkmaar","North Holland","Netherlands","EU","Central",80
"Allahabad","Uttar Pradesh","India","APAC","Central Asia",81
"Allauch","Provence-Alpes-Côte d'Azur","France","EU","Central",82
"Allen","Texas","United States","US","Central",83
"Allentown","Pennsylvania","United States","US","East",84
"Almaty","Almaty City","Kazakhstan","EMEA","EMEA",85
"Almelo","Overijssel","Netherlands","EU","Central",86
"Alphen aan den Rijn","South Holland","Netherlands","EU","Central",87
"Altamira","Pará","Brazil","LATAM","South",88
"Altamura","Apulia","Italy","EU","South",89
"Altoona","Pennsylvania","United States","US","East",90
"Altotonga","Veracruz","Mexico","LATAM","North",91
"Amadora","Lisboa","Portugal","EU","South",92
"Amagasaki","Hyogo","Japan","APAC","North Asia",93
"Amarillo","Texas","United States","US","Central",94
"Amasya","Amasya","Turkey","EMEA","EMEA",95
"Amatitlán","Guatemala","Guatemala","LATAM","Central",96
"Ambattur","Tamil Nadu","India","APAC","Central Asia",97
"Ambon","Maluku","Indonesia","APAC","Southeast Asia",98
"Americana","São Paulo","Brazil","LATAM","South",99
"Amersfoort","Utrecht","Netherlands","EU","Central",100
"Amiens","Picardy","France","EU","Central",101
"Amman","'Amman","Jordan","EMEA","EMEA",102
"Amol","Mazandaran","Iran","EMEA","EMEA",103
"Amravati","Maharashtra","India","APAC","Central Asia",104
"Amritsar","Punjab","India","APAC","Central Asia",105
"Amstelveen","North Holland","Netherlands","EU","Central",106
"Amsterdam","North Holland","Netherlands","EU","Central",107
"An Nasiriyah","Dhi Qar","Iraq","EMEA","EMEA",108
"Anaheim","California","United States","US","West",109
"Ananindeua","Pará","Brazil","LATAM","South",110
"Anantapur","Andhra Pradesh","India","APAC","Central Asia",111
"Ancona","Marche","Italy","EU","South",112
"Andijon","Andijan","Uzbekistan","EMEA","EMEA",113
"Andover","Massachusetts","United States","US","East",114
"Andradina","São Paulo","Brazil","LATAM","South",115
"Andria","Apulia","Italy","EU","South",116
"Angarsk","Irkutsk","Russia","EMEA","EMEA",117
"Angeles City","Central Luzon","Philippines","APAC","Southeast Asia",118
"Angers","Pays de la Loire","France","EU","Central",119
"Anglet","Aquitaine","France","EU","Central",120
"Anjo","Aichi","Japan","APAC","North Asia",121
"Ankara","Ankara","Turkey","EMEA","EMEA",122
"Ann Arbor","Michigan","United States","US","Central",123
"Annaba","Annaba","Algeria","Africa","Africa",124
"Annecy","Rhône-Alpes","France","EU","Central",125
"Annecy-le-Vieux","Rhône-Alpes","France","EU","Central",126
"Annemasse","Rhône-Alpes","France","EU","Central",127
"Annonay","Rhône-Alpes","France","EU","Central",128
"Anqing","Anhui","China","APAC","North Asia",129
"Anshan","Liaoning","China","APAC","North Asia",130
"Anshun","Guizhou","China","APAC","North Asia",131
"Antakya","Hatay","Turkey","EMEA","EMEA",132
"Antalya","Antalya","Turkey","EMEA","EMEA",133
"Antananarivo","Analamanga","Madagascar","Africa","Africa",134
"Antibes","Provence-Alpes-Côte d'Azur","France","EU","Central",135
"Antiguo Cuscatlán","La Libertad","El Salvador","LATAM","Central",136
"Antioch","California","United States","US","West",137
"Antipolo","Calabarzon","Philippines","APAC","Southeast Asia",138
"Antofagasta","Antofagasta","Chile","LATAM","South",139
"Antony","Ile-de-France","France","EU","Central",140
"Antsiranana","Diana","Madagascar","Africa","Africa",141
"Antwerp","Antwerp","Belgium","EU","Central",142
"Anyang","Gyeonggi","South Korea","APAC","North Asia",143
"Anyang","Henan","China","APAC","North Asia",144
"Anzio","Lazio","Italy","EU","South",145
"Anápolis","Goiás","Brazil","LATAM","South",146
"Aoba-ku","Kanagawa","Japan","APAC","North Asia",147
"Apartadó","Antioquia","Colombia","LATAM","South",148
"Apatzingán de la Constitución","Michoacán","Mexico","LATAM","North",149
"Apeldoorn","Gelderland","Netherlands","EU","Central",150
"Apodaca","Nuevo León","Mexico","LATAM","North",151
"Apopa","San Salvador","El Salvador","LATAM","Central",152
"Apopka","Florida","United States","US","South",153
"Apple Valley","California","United States","US","West",154
"Apple Valley","Minnesota","United States","US","Central",155
"Appleton","Wisconsin","United States","US","Central",156
"Aprilia","Lazio","Italy","EU","South",157
"Apucarana","Parana","Brazil","LATAM","South",158
"Ar Raqqah","Ar Raqqah","Syria","EMEA","EMEA",159
"Aracaju","Sergipe","Brazil","LATAM","South",160
"Aracati","Ceará","Brazil","LATAM","South",161
"Arad","Arad","Romania","EMEA","EMEA",162
"Araguaína","Tocantins","Brazil","LATAM","South",163
"Arak","Markazi","Iran","EMEA","EMEA",164
"Arapiraca","Alagoas","Brazil","LATAM","South",165
"Arapongas","Parana","Brazil","LATAM","South",166
"Araranguá","Santa Catarina","Brazil","LATAM","South",167
"Araraquara","São Paulo","Brazil","LATAM","South",168
"Arauca","Arauca","Colombia","LATAM","South",169
"Araucária","Parana","Brazil","LATAM","South",170
"Araçatuba","São Paulo","Brazil","LATAM","South",171
"Arbil","Arbil","Iraq","EMEA","EMEA",172
"Arcoverde","Pernambuco","Brazil","LATAM","South",173
"Ardabil","Ardabil","Iran","EMEA","EMEA",174
"Ardahan","Ardahan","Turkey","EMEA","EMEA",175
"Arequipa","Arequipa","Peru","LATAM","South",176
"Arezzo","Tuscany","Italy","EU","South",177
"Argentan","Lower Normandy","France","EU","Central",178
"Argenteuil","Ile-de-France","France","EU","Central",179
"Arica","Arica y Parinacota","Chile","LATAM","South",180
"Ariquemes","Rondônia","Brazil","LATAM","South",181
"Arkhangelsk","Arkhangel'sk","Russia","EMEA","EMEA",182
"Arles","Provence-Alpes-Côte d'Azur","France","EU","Central",183
"Arlington","Texas","United States","US","Central",184
"Arlington","Virginia","United States","US","South",185
"Arlington Heights","Illinois","United States","US","Central",186
