"Product ID","First(Category)","First(Sub-Category)","First(Product Name)","First(is_high_discount)"
"FUR-ADV-10000002","Furniture","Furnishings","Advantus Photo Frame, Duo Pack","Normal"
"FUR-ADV-10000108","Furniture","Furnishings","Advantus Clock, Erganomic","Normal"
"FUR-ADV-10000183","Furniture","Furnishings","Advantus Photo Frame, Black","High Discount"
"FUR-ADV-10000188","Furniture","Furnishings","Advantus Stacking Tray, Erganomic","Normal"
"FUR-ADV-10000190","Furniture","Furnishings","Advantus Frame, Duo Pack","Normal"
"FUR-ADV-10000571","Furniture","Furnishings","Advantus Frame, Erganomic","Normal"
"FUR-ADV-10000600","Furniture","Furnishings","Advantus Clock, Duo Pack","Normal"
"FUR-ADV-10000847","Furniture","Furnishings","Advantus Stacking Tray, Black","Normal"
"FUR-ADV-10001283","Furniture","Furnishings","Advantus Frame, Black","Normal"
"FUR-ADV-10001440","Furniture","Furnishings","Advantus Door Stop, Black","Normal"
"FUR-ADV-10001659","Furniture","Furnishings","Advantus Light Bulb, Durable","Normal"
"FUR-ADV-10001855","Furniture","Furnishings","Advantus Stacking Tray, Durable","Normal"
"FUR-ADV-10002329","Furniture","Furnishings","Advantus Light Bulb, Erganomic","High Discount"
"FUR-ADV-10002601","Furniture","Furnishings","Advantus Photo Frame, Erganomic","Normal"
"FUR-ADV-10002632","Furniture","Furnishings","Advantus Door Stop, Duo Pack","High Discount"
"FUR-ADV-10002889","Furniture","Furnishings","Advantus Clock, Durable","Normal"
"FUR-ADV-10003147","Furniture","Furnishings","Advantus Stacking Tray, Erganomic","Normal"
"FUR-ADV-10003326","Furniture","Furnishings","Advantus Light Bulb, Black","Normal"
"FUR-ADV-10004159","Furniture","Furnishings","Advantus Frame, Durable","High Discount"
"FUR-ADV-10004223","Furniture","Furnishings","Advantus Clock, Black","Normal"
"FUR-ADV-10004395","Furniture","Furnishings","Advantus Door Stop, Durable","Normal"
"FUR-ADV-10004499","Furniture","Furnishings","Advantus Photo Frame, Durable","Normal"
"FUR-ADV-10004718","Furniture","Furnishings","Advantus Light Bulb, Duo Pack","Normal"
"FUR-ADV-10004971","Furniture","Furnishings","Advantus Door Stop, Erganomic","Normal"
"FUR-BAR-10000560","Furniture","Tables","Barricks Round Table, with Bottom Storage","Normal"
"FUR-BAR-10000831","Furniture","Tables","Barricks Training Table, Fully Assembled","Normal"
"FUR-BAR-10000946","Furniture","Tables","Barricks Computer Table, with Bottom Storage","Normal"
"FUR-BAR-10001039","Furniture","Tables","Barricks Coffee Table, Fully Assembled","High Discount"
"FUR-BAR-10002449","Furniture","Tables","Barricks Training Table, Adjustable Height","Normal"
"FUR-BAR-10002710","Furniture","Tables","Barricks Coffee Table, Adjustable Height","High Discount"
"FUR-BAR-10003465","Furniture","Tables","Barricks Computer Table, Adjustable Height","High Discount"
"FUR-BAR-10003532","Furniture","Tables","Barricks Conference Table, Rectangular","High Discount"
"FUR-BAR-10003576","Furniture","Tables","Barricks Training Table, with Bottom Storage","Normal"
"FUR-BAR-10004434","Furniture","Tables","Barricks Wood Table, Rectangular","Normal"
"FUR-BAR-10004553","Furniture","Tables","Barricks Training Table, Rectangular","Normal"
"FUR-BAR-10004561","Furniture","Tables","Barricks Wood Table, Fully Assembled","Normal"
"FUR-BAR-10004682","Furniture","Tables","Barricks Round Table, Fully Assembled","Normal"
"FUR-BEV-10000326","Furniture","Tables","Bevis Wood Table, Rectangular","Normal"
"FUR-BEV-10000388","Furniture","Tables","Bevis Coffee Table, Rectangular","Normal"
"FUR-BEV-10001048","Furniture","Tables","Bevis Conference Table, with Bottom Storage","Normal"
"FUR-BEV-10001217","Furniture","Tables","Bevis Wood Table, Fully Assembled","Normal"
"FUR-BEV-10001853","Furniture","Tables","Bevis Computer Table, Adjustable Height","Normal"
"FUR-BEV-10002193","Furniture","Tables","Bevis Round Table, Adjustable Height","High Discount"
"FUR-BEV-10002369","Furniture","Tables","Bevis Training Table, Fully Assembled","High Discount"
"FUR-BEV-10002803","Furniture","Tables","Bevis Conference Table, Fully Assembled","Normal"
"FUR-BEV-10003414","Furniture","Tables","Bevis Computer Table, Fully Assembled","Normal"
"FUR-BEV-10004805","Furniture","Tables","Bevis Conference Table, Rectangular","Normal"
"FUR-BEV-10004919","Furniture","Tables","Bevis Wood Table, with Bottom Storage","Normal"
"FUR-BO-10000002","Furniture","Bookcases","Bush Classic Bookcase, Mobile","Normal"
"FUR-BO-10000008","Furniture","Bookcases","Sauder Library with Doors, Traditional","Normal"
"FUR-BO-10000021","Furniture","Bookcases","Dania Corner Shelving, Metal","Normal"
"FUR-BO-10000022","Furniture","Bookcases","Dania Floating Shelf Set, Traditional","Normal"
"FUR-BO-10000034","Furniture","Bookcases","Safco Classic Bookcase, Pine","Normal"
"FUR-BO-10000035","Furniture","Bookcases","Dania Classic Bookcase, Pine","Normal"
"FUR-BO-10000038","Furniture","Bookcases","Bush Library with Doors, Pine","Normal"
"FUR-BO-10000071","Furniture","Bookcases","Safco 3-Shelf Cabinet, Metal","Normal"
"FUR-BO-10000087","Furniture","Bookcases","Dania Classic Bookcase, Mobile","Normal"
"FUR-BO-10000112","Furniture","Bookcases","Bush Birmingham Collection Bookcase, Dark Cherry","Normal"
"FUR-BO-10000120","Furniture","Bookcases","Sauder Stackable Bookrack, Mobile","Normal"
"FUR-BO-10000148","Furniture","Bookcases","Bush 3-Shelf Cabinet, Metal","Normal"
"FUR-BO-10000155","Furniture","Bookcases","Dania Corner Shelving, Metal","Normal"
"FUR-BO-10000160","Furniture","Bookcases","Safco Library with Doors, Pine","Normal"
"FUR-BO-10000170","Furniture","Bookcases","Safco Library with Doors, Mobile","Normal"
"FUR-BO-10000175","Furniture","Bookcases","Ikea Stackable Bookrack, Metal","Normal"
"FUR-BO-10000184","Furniture","Bookcases","Sauder Floating Shelf Set, Mobile","High Discount"
"FUR-BO-10000195","Furniture","Bookcases","Dania Stackable Bookrack, Pine","Normal"
"FUR-BO-10000203","Furniture","Bookcases","Sauder Library with Doors, Metal","Normal"
"FUR-BO-10000208","Furniture","Bookcases","Bush Stackable Bookrack, Mobile","Normal"
"FUR-BO-10000210","Furniture","Bookcases","Ikea Library with Doors, Pine","Normal"
"FUR-BO-10000214","Furniture","Bookcases","Ikea Library with Doors, Pine","High Discount"
"FUR-BO-10000243","Furniture","Bookcases","Safco Floating Shelf Set, Pine","Normal"
"FUR-BO-10000259","Furniture","Bookcases","Safco Classic Bookcase, Traditional","Normal"
"FUR-BO-10000265","Furniture","Bookcases","Bush Floating Shelf Set, Pine","Normal"
"FUR-BO-10000268","Furniture","Bookcases","Ikea 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10000269","Furniture","Bookcases","Dania Stackable Bookrack, Pine","Normal"
"FUR-BO-10000279","Furniture","Bookcases","Dania Classic Bookcase, Pine","Normal"
"FUR-BO-10000288","Furniture","Bookcases","Safco Classic Bookcase, Traditional","Normal"
"FUR-BO-10000311","Furniture","Bookcases","Safco Floating Shelf Set, Metal","Normal"
"FUR-BO-10000321","Furniture","Bookcases","Dania Floating Shelf Set, Mobile","High Discount"
"FUR-BO-10000330","Furniture","Bookcases","Sauder Camden County Barrister Bookcase, Planked Cherry Finish","Normal"
"FUR-BO-10000362","Furniture","Bookcases","Sauder Inglewood Library Bookcases","Normal"
"FUR-BO-10000378","Furniture","Bookcases","Bush Floating Shelf Set, Pine","Normal"
"FUR-BO-10000402","Furniture","Bookcases","Sauder Stackable Bookrack, Traditional","Normal"
"FUR-BO-10000411","Furniture","Bookcases","Sauder Floating Shelf Set, Metal","Normal"
"FUR-BO-10000425","Furniture","Bookcases","Bush Floating Shelf Set, Traditional","Normal"
"FUR-BO-10000468","Furniture","Bookcases","O'Sullivan 2-Shelf Heavy-Duty Bookcases","Normal"
